"cdr_ID","calldate","ip","port","is_caller"
76123218,"2018-05-01 13:50:22",3227975506,28940,0
76123219,"2018-05-01 13:50:22",3227975506,19238,0
76123221,"2018-05-01 13:50:22",3227975506,19216,0
76123222,"2018-05-01 13:50:22",3227975506,26294,0
76123223,"2018-05-01 13:50:22",3227975506,25950,0
76123351,"2018-05-01 13:50:22",2392981967,5148,1
76123351,"2018-05-01 13:50:22",3227975506,18670,0
76123424,"2018-05-01 13:50:22",3227975250,20814,1
76123424,"2018-05-01 13:50:22",3512424079,16470,0
76123426,"2018-05-01 13:50:23",3429196867,7782,1
76123426,"2018-05-01 13:50:23",3227975250,28148,0
76123614,"2018-05-01 13:50:25",3227975251,23602,1
76123614,"2018-05-01 13:50:25",3452818186,11142,0
76123617,"2018-05-01 13:50:27",3091461651,17070,1
76123617,"2018-05-01 13:50:27",3227975251,20780,0
76123322,"2018-05-01 13:50:35",3227975251,23468,1
76123322,"2018-05-01 13:50:35",3345303600,10000,0
76123301,"2018-05-01 13:50:37",3227975506,27326,0
76123323,"2018-05-01 13:50:37",3495526469,61628,1
76123323,"2018-05-01 13:50:37",3227975251,23222,0
76123353,"2018-05-01 13:50:39",1654599250,22084,1
76123353,"2018-05-01 13:50:39",417230089,6300,0
76123393,"2018-05-01 13:50:39",3507478246,16494,1
76123393,"2018-05-01 13:50:39",1654599250,17346,0
76123348,"2018-05-01 13:50:43",1654599251,21400,1
76123348,"2018-05-01 13:50:43",417230089,6620,0
76123349,"2018-05-01 13:50:44",3507478246,17176,1
76123349,"2018-05-01 13:50:44",1654599251,26886,0
76123355,"2018-05-01 13:50:44",411685143,7490,1
76123355,"2018-05-01 13:50:44",1654599250,32002,0
76123392,"2018-05-01 13:50:44",1654599250,25928,1
76123392,"2018-05-01 13:50:44",2393257259,5144,0
76123390,"2018-05-01 13:50:46",3227975251,30388,1
76123390,"2018-05-01 13:50:46",3640368787,16472,0
76123389,"2018-05-01 13:50:47",3429196867,7700,1
76123389,"2018-05-01 13:50:47",3227975251,21914,0
76123388,"2018-05-01 13:50:49",3227975251,23032,1
76123388,"2018-05-01 13:50:49",3429196812,21780,0
76123391,"2018-05-01 13:50:50",3640368787,16698,1
76123391,"2018-05-01 13:50:50",3227975251,20736,0
